name;commits;repos;company
drnic;3743;83;Stark & Wayne LLC
longnguyen11288;388;16;independant
jhunt;296;13;"NiftyLogic; Inc."
rkoster;270;11;Stark and Wayne
geofffranks;245;10;independant
mheath;613;9;Pivotal
poblin-orange;669;7;Orange
ArthurHlt;300;7;orange
frodenas;584;6;independant
mrdavidlaing;453;5;independant
simonjohansson;113;4;Springer
soutenniza;43;3;independant
nebhale;741;3;independant
youngm;193;3;independant
cunnie;120;3;Pivotal Labs
joefitzgerald;66;2;"Pivotal Software, Inc."
danhigham;36;2;Pivotal
johnlonganecker;6;2;Stark & Wayne
thomasmmitchell;31;2;independant
bodymindarts;101;2;independant
joshuamckenty;100;2;"Pivotal, Inc."
davidehringer;42;2;davidehringer.com
fearoffish;13;2;Fear of Fish
bonzofenix;49;2;independant
spgreenberg;76;2;Pivotal
dlapiduz;59;2;independant
mchmarny;14;2;Intel
nguyendangminh;3;1;FPT Technology Innovation Department
Kaixiang;69;1;Pivotal Labs
shinji62;60;1;Pivotal
flavorjones;2;1;Pivotal / Cloud Foundry
pfaze;3;1;independant
cweibel;77;1;Stark & Wayne
mreider;78;1;independant
gberche-orange;43;1;orange
scottdensmore;2;1;independant
afortener;4;1;independant
ramonskie;5;1;independant
maximilien;140;1;IBM Cloud Labs
opiethehokie;33;1;independant
duglin;5;1;IBM
dieucao;32;1;independant
jrbudnack;14;1;Stark & Wayne LLC
djvdorp;29;1;independant
BrianMMcClain;5;1;"Basho Technologies, Inc."
grenzr;28;1;Webnovation Ltd
7hunderbird;25;1;Stark & Wayne LLC
simonleung8;23;1;IBM
kushmerick;151;1;VMware
pmenglund;414;1;independant
pmuellr;9;1;https://nodesource.com
thegullion;10;1;independant
wayneeseguin;11;1;http://starkandwayne.com/
knolleary;562;1;IBM
mstine;16;1;independant
achied;16;1;independant
krutten;22;1;independant
cgfrost;167;0;Pivotal Labs
briancroom;14;0;Pivotal Labs
seansweda;14;0;independant
sklevenz;19;0;SAP SE
goehringc;12;0;independant
aespinosa;12;0;independant
wolfoo2931;11;0;independant
lulinqing;11;0;independant
hatofmonkeys;19;0;independant
andypiper;10;0;Twitter
dennisjbell;19;0;...it's complicated...
xiwenc;10;0;Mendix
violetagg;22;0;independant
mattcui;9;0;IBM CDL
lcacciagioni;9;0;Westwing Home & Living Gmbh
geramirez;8;0;18F
tyyko;6;0;independant
amulyas;6;0;youdevops.com
jcscottiii;22;0;18F
teancom;5;0;
robertgmoss;5;0;CloudSoft Corporation
m1093782566;28;0;independant
krishicks;32;0;independant
jaustinhughey;5;0;independant
cromega;36;0;Pivotal Software
qanx;5;0;independant
chandadharap;5;0;independant
afeld;4;0;18F
krujos;37;0;Pivotal
jbayer;4;0;Pivotal
emirozer;4;0;Mendix
jhiemer;3;0;independant
cdavisafc;1;0;independant
byllc;3;0;Division By Zero
scottfrederick;56;0;Pivotal
resouer;2;0;Zhejiang University
factorypreset;2;0;independant
zhanggbj;62;0;IBM 
jgawor;2;0;independant
ronakbanka;2;0;"Rakuten; Inc."
mehtaphysical;2;0;Zipcar
matjohn2;2;0;independant
yudai;74;0;NTTi3/NTTLab
csterwa;1;0;Luxoft
dsboulder;1;0;Pivotal Labs
insanitysauce;1;0;LDS Church
starkandwayne-bot;83;0;Stark & Wayne LLC
duncwinn;1;0;Pivotal
drich10;1;0;Pivotal Labs
ChrisMcGowan;1;0;independant
xiujiao;1;0;The University at Buffalo
dengwa;1;0;Huawei Technologies
kokuboyuichi;1;0;independant
morikat;1;0;independant
rboykin;1;0;IBM
petersca;1;0;IBM
antechrestos;1;0;Orange
norman-abramovitz;1;0;independant
MarkKropf;1;0;Pivotal - Cloud Foundry
o-orand;1;0;Orange
jrozansk;1;0;Intel Corp
